Comment,Designator,Footprint,LCSC
10uF,"C1,C2,C8,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",Capacitor_SMD:C_0805_2012Metric,C15850
100nF,"C3,C4,C7,C9,C10,C12,C14",Capacitor_SMD:C_0805_2012Metric,C49678
22uF,"C5,C6",Capacitor_SMD:C_0805_2012Metric,C45783
20pF,"C11,C13",Capacitor_SMD:C_0805_2012Metric,C1798
KH-TYPE-C-16P,CONN2,KH-TYPE-C-16P:KINGHELM_KH-TYPE-C-16P,C709357
Scho (SS33),D1,Diode_SMD:D_SMA,C28646294
Sch (DSK110),D2,TO_SOT_SMD:DIODE-SOD-123,C22466354
USBLC6-2SC6,ESD1,Package_TO_SOT_SMD:SOT-23-6,C7519
NUP2105LT1G,ESD2,Package_TO_SOT_SMD:SOT-23-3,C2890118
MCP2562T-E_SN,IC1,MCP2562T-E_SN:SOIC127P600X175-8N,C191417
5.6uH,L1,SMNR4020-5R6MT:SMNR4020-5R6MT,C467062
0805_Green,LED1,LED_SMD:LED_0805_2012Metric,C2297
0805_Yellow,LED2,LED_SMD:LED_0805_2012Metric,C2296
33R,R1,Resistor_SMD:R_0805_2012Metric,C17634
56K,R2,Resistor_SMD:R_0805_2012Metric,C17756
10K,"R3,R6,R8,R9,R16,R20,R23,R26,R29,R40,R41,R42,R43,R44",Resistor_SMD:R_0805_2012Metric,C17414
300R,R4,Resistor_SMD:R_0805_2012Metric,C17617
120R,R5,Resistor_SMD:R_0805_2012Metric,C17437
120R 0.25W,R7,Resistor_SMD:R_1206_3216Metric,C17909
4K7,"R10,R15,R19,R22,R25,R28,R35,R36,R37,R38,R39",Resistor_SMD:R_0805_2012Metric,C17673
22R,"R11,R12",Resistor_SMD:R_0805_2012Metric,C17561
5K1,"R13,R14",Resistor_SMD:R_0805_2012Metric,C27834
SWITCH,"SW1,SW2",TS-1187A-B-A-B:SW_TS-1187A-B-A-B,C318884
TPS56339DDCR,U1,Package_TO_SOT_SMD:SOT-23-6,C2071106
LD1117S33CTR,U2,Package_TO_SOT_SMD:SOT-223,C35879
1206L050YR,F1,1206L050YR:1206L050YR,C163512
