Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,126.9,-114.625,0,top
C2,10uF,C_0805_2012Metric,126.9,-112.65,0,top
C3,100nF,C_0805_2012Metric,126.9,-110.675,0,top
C4,100nF,C_0805_2012Metric,125.475,-104.55,90,top
C5,22uF,C_0805_2012Metric,119.4,-102.43,0,top
C6,22uF,C_0805_2012Metric,118.52,-104.42,0,top
C7,100nF,C_0805_2012Metric,118.06,-96.76,180,top
C8,10uF,C_0805_2012Metric,118.06,-94.75,180,top
C9,100nF,C_0805_2012Metric,126.3375,-91.13,180,top
C10,100nF,C_0805_2012Metric,91.9325,-100.23,180,top
C11,20pF,C_0805_2012Metric,93.73,-79.07,90,top
C12,100nF,C_0805_2012Metric,97.45,-105.45,-90,top
C13,20pF,C_0805_2012Metric,95.7,-79.07,90,top
C14,100nF,C_0805_2012Metric,95.4,-81.96,180,top
C15,10uF,C_0805_2012Metric,114.66,-109.575,180,top
C16,10uF,C_0805_2012Metric,111.26,-109.57,0,top
C17,10uF,C_0805_2012Metric,107.86,-109.57,180,top
C18,10uF,C_0805_2012Metric,104.46,-109.57,0,top
C19,10uF,C_0805_2012Metric,101.06,-109.57,180,top
C20,10uF,C_0805_2012Metric,114.6625,-96.87,180,top
C21,10uF,C_0805_2012Metric,111.26,-96.87,0,top
C22,10uF,C_0805_2012Metric,107.86,-96.87,180,top
C23,10uF,C_0805_2012Metric,104.46,-96.87,0,top
C24,10uF,C_0805_2012Metric,101.06,-96.87,180,top
CONN1,MX23A18NF1,MX23A18NF1,110.25,-119.6545,0,top
CONN2,KH-TYPE-C-16P,KINGHELM_KH-TYPE-C-16P,92.88,-90.33,-90,top
D1,Scho (SS33),D_SMA,118.51,-108.9,90,top
D2,Sch (DSK110),DIODE-SOD-123,94.2,-84.04,180,top
ESD1,USBLC6-2SC6,SOT-23-6,98.8,-82.8375,90,top
ESD2,NUP2105LT1G,SOT-23-3,94.425,-105.45,0,top
F1,1206L050YR,1206L05015YR,118.5,-115.165,-90,top
IC1,MCP2562T-E_SN,SOIC127P600X175-8N,96.35,-99.14,-90,top
L1,5.6uH,SMNR4020-5R6MT,122.2625,-107.45,0,top
LED1,0805_Green,LED_0805_2012Metric,124.225,-111.3625,90,top
LED2,0805_Yellow,LED_0805_2012Metric,122.8025,-100.51,0,top
MH1,MH1,,94.75,-115.45,0,top
MH2,MH2,,125.75,-74.6,0,top
MH3,MH3,,94.75,-74.6,0,top
R1,33R,R_0805_2012Metric,127.65,-104.55,-90,top
R2,56K,R_0805_2012Metric,122.8125,-104.3,180,top
R3,10K,R_0805_2012Metric,122.8125,-102.405,180,top
R4,300R,R_0805_2012Metric,123.5125,-114.6,0,top
R5,120R,R_0805_2012Metric,119.4275,-100.49,0,top
R6,10K,R_0805_2012Metric,122.1875,-77.49,0,top
R7,120R 0.25W,R_1206_3216Metric,93.5,-109.552857,90,top
R8,10K,R_0805_2012Metric,122.9075,-91.13,0,top
R9,10K,R_0805_2012Metric,91.79,-79.1075,90,top
R10,4K7,R_0805_2012Metric,92.0175,-81.96,0,top
R11,22R,R_0805_2012Metric,99.55,-79.1075,-90,top
R12,22R,R_0805_2012Metric,97.65,-79.1075,-90,top
R13,5K1,R_0805_2012Metric,91.97,-96.38,180,top
R14,5K1,R_0805_2012Metric,91.97,-98.28,180,top
R15,4K7,R_0805_2012Metric,114.66,-113.405,180,top
R16,10K,R_0805_2012Metric,114.66,-111.5025,180,top
R19,4K7,R_0805_2012Metric,111.26,-113.4,0,top
R20,10K,R_0805_2012Metric,111.26,-111.5,0,top
R22,4K7,R_0805_2012Metric,107.86,-113.4,180,top
R23,10K,R_0805_2012Metric,107.86,-111.5,180,top
R25,4K7,R_0805_2012Metric,104.46,-113.4,0,top
R26,10K,R_0805_2012Metric,104.46,-111.5,0,top
R28,4K7,R_0805_2012Metric,101.06,-113.4,180,top
R29,10K,R_0805_2012Metric,101.06,-111.5,180,top
R35,4K7,R_0805_2012Metric,114.6625,-100.695,180,top
R36,4K7,R_0805_2012Metric,111.26,-100.7,0,top
R37,4K7,R_0805_2012Metric,107.86,-100.7,180,top
R38,4K7,R_0805_2012Metric,104.46,-100.7,0,top
R39,4K7,R_0805_2012Metric,101.06,-100.7,180,top
R40,10K,R_0805_2012Metric,114.6625,-98.795,180,top
R41,10K,R_0805_2012Metric,111.26,-98.8,0,top
R42,10K,R_0805_2012Metric,107.86,-98.8,180,top
R43,10K,R_0805_2012Metric,104.46,-98.8,0,top
R44,10K,R_0805_2012Metric,101.06,-98.8,180,top
SW1,BOOT,SW_TS-1187A-B-A-B,124.29375,-81.255,0,top
SW2,RESET,SW_TS-1187A-B-A-B,124.29375,-87.352857,0,top
U1,TPS56339DDCR,SOT-23-6,126.55,-107.95,0,top
U2,LD1117S33CTR,SOT-223,124.2,-95.72,0,top
